ngram_range,max_features,min_df,umap_dims,eps,min_samples,num_clusters,noise_ratio,silhouette_score,davies_bouldin_score
"(1, 1)",5000,2,2,0.8,15,37,0.042533432392273404,0.3261018395423889,2.0888025563459505
"(1, 1)",5000,2,2,1.0,5,60,0.0,0.30006328225135803,0.2615585120535996
"(1, 1)",5000,2,2,1.0,10,48,0.01634472511144131,0.29091086983680725,1.676413317408361
"(1, 1)",5000,2,2,1.0,15,36,0.042533432392273404,0.2931095361709595,1.3406340046028777
"(1, 1)",5000,2,5,0.2,5,155,0.08933878157503715,0.41181790828704834,0.8395529717141617
"(1, 1)",5000,2,5,0.2,10,128,0.1976225854383358,0.3679857552051544,1.0037185473023231
"(1, 1)",5000,2,5,0.2,15,100,0.32819465081723626,0.24197442829608917,1.2250319581513098
"(1, 1)",5000,2,5,0.4,5,73,0.004086181277860327,0.19663318991661072,0.593323167837126
"(1, 1)",5000,2,5,0.4,10,60,0.027674591381872213,0.2519225478172302,0.9311792887164363
"(1, 1)",5000,2,5,0.4,15,53,0.0700222882615156,0.3164905905723572,1.4253496781406
"(1, 1)",5000,2,5,0.6,5,64,0.0,0.3021906018257141,0.32397808336700906
"(1, 1)",5000,2,5,0.6,10,50,0.020059435364041606,0.32686254382133484,0.850165474344376
"(1, 1)",5000,2,5,0.6,15,40,0.0462481426448737,0.2600555717945099,1.1977619395169563
"(1, 1)",5000,2,5,0.8,5,60,0.0,0.30973923206329346,0.313096674198238
"(1, 1)",5000,2,5,0.8,10,48,0.017273402674591383,0.31266045570373535,0.9311806016005225
"(1, 1)",5000,2,5,0.8,15,35,0.04606240713224369,0.3439696431159973,1.1268495177376274
"(1, 1)",5000,2,5,1.0,5,56,0.0,0.3659926652908325,0.2966553225335205
"(1, 1)",5000,2,5,1.0,10,46,0.01337295690936107,0.35133665800094604,0.9490961141364128
"(1, 1)",5000,2,5,1.0,15,34,0.04011887072808321,0.43227726221084595,1.1654136593007927
"(1, 1)",5000,2,10,0.2,5,165,0.10271173848439821,0.4216517210006714,0.8326474471947028
"(1, 1)",5000,2,10,0.2,10,125,0.21675334323922735,0.3579716980457306,0.9416649048325589
"(1, 1)",5000,2,10,0.2,15,95,0.3476968796433878,0.21976812183856964,1.1159848231476097
"(1, 1)",5000,2,10,0.4,5,77,0.007057949479940565,0.27328401803970337,0.6265453018189984
"(1, 1)",5000,2,10,0.4,10,66,0.03677563150074294,0.2845744788646698,1.0139930920273332
"(1, 1)",5000,2,10,0.4,15,57,0.07763744427934621,0.31831562519073486,1.2187469540256504
"(1, 1)",5000,2,10,0.6,5,65,0.0005572065378900445,0.21924909949302673,0.37456879238180085
"(1, 1)",5000,2,10,0.6,10,51,0.019130757800891532,0.3270071744918823,1.0425095878629853
"(1, 1)",5000,2,10,0.6,15,40,0.04569093610698365,0.3319341838359833,1.0974194577146459
"(1, 1)",5000,2,10,0.8,5,57,0.0,0.34729042649269104,0.3178831538485823
"(1, 1)",5000,2,10,0.8,10,47,0.0137444279346211,0.32820847630500793,1.1147664333380736
"(1, 1)",5000,2,10,0.8,15,35,0.041604754829123326,0.34277090430259705,1.1376300605886605
"(1, 1)",5000,2,10,1.0,5,53,0.0,0.43031904101371765,0.2807860773461416
"(1, 1)",5000,2,10,1.0,10,43,0.0137444279346211,0.41783779859542847,1.0794405489726424
"(1, 1)",5000,2,10,1.0,15,32,0.04049034175334324,0.4498286843299866,1.1024074167438087
"(1, 1)",5000,2,20,0.2,5,161,0.0962109955423477,0.39559468626976013,0.8649564256580637
"(1, 1)",5000,2,20,0.2,10,125,0.21842496285289748,0.3563680350780487,0.9119869837516932
"(1, 1)",5000,2,20,0.2,15,101,0.35271173848439824,0.2022191286087036,1.014865771913543
"(1, 1)",5000,2,20,0.4,5,76,0.00612927191679049,0.28875619173049927,0.4899838781437664
"(1, 1)",5000,2,20,0.4,10,67,0.03064635958395245,0.3141244947910309,1.1333447432539874
"(1, 1)",5000,2,20,0.4,15,57,0.07225111441307577,0.3693162202835083,1.2822827656384483
"(1, 1)",5000,2,20,0.6,5,61,0.0003714710252600297,0.3168058693408966,0.3490542793176684
